                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45959,                0.34085,                0.80126,                  0.989,                0.99035,                 0.9945,                0.93141,                0.35835,                0.26172,                0.78508,             0.00016003,             0.00016003,             0.00016003
                     37,                0.45115,                0.33484,                0.80293,                0.99376,                0.98635,                 0.9947,                0.92828,                0.37838,                0.26352,                0.78647,             0.00015004,             0.00015004,             0.00015004
                     38,                0.44841,                0.33278,                    0.8,                0.99048,                0.98826,                0.99461,                0.93305,                0.35839,                0.26012,                0.78457,             0.00014004,             0.00014004,             0.00014004
                     39,                0.45705,                0.33384,                 0.8012,                0.98975,                0.98749,                0.99462,                0.93206,                0.36646,                0.26132,                0.78507,             0.00013004,             0.00013004,             0.00013004
                     40,                0.44941,                0.33087,                0.80113,                0.99261,                0.98419,                0.99462,                0.93251,                0.35588,                0.26046,                0.78466,             0.00012004,             0.00012004,             0.00012004
                     41,                0.39146,                0.27924,                0.79035,                0.99025,                 0.9889,                0.99456,                0.93416,                0.35708,                 0.2554,                0.78472,             0.00011004,             0.00011004,             0.00011004
                     42,                0.38929,                0.27412,                 0.7903,                 0.9918,                0.99007,                0.99472,                 0.9344,                0.36208,                0.25559,                 0.7841,             0.00010004,             0.00010004,             0.00010004
                     43,                0.38218,                0.27009,                0.78808,                0.99354,                 0.9876,                0.99467,                0.93438,                0.35507,                0.25359,                0.78445,             9.0041e-05,             9.0041e-05,             9.0041e-05
                     44,                0.38433,                0.26997,                0.79079,                0.99611,                0.98661,                0.99472,                0.93745,                0.34752,                0.24955,                 0.7832,             8.0042e-05,             8.0042e-05,             8.0042e-05
                     45,                0.38043,                0.26707,                0.78982,                0.99314,                0.98842,                0.99472,                0.94009,                0.34329,                0.24475,                 0.7826,             7.0043e-05,             7.0043e-05,             7.0043e-05
                     46,                0.37608,                0.26621,                0.78873,                0.99551,                0.98573,                0.99473,                0.93975,                0.34269,                0.24452,                0.78238,             6.0044e-05,             6.0044e-05,             6.0044e-05
                     47,                0.37404,                0.26167,                0.78816,                0.99158,                0.98968,                0.99467,                0.93979,                0.34716,                0.24475,                0.78253,             5.0045e-05,             5.0045e-05,             5.0045e-05
                     48,                0.37125,                0.26102,                0.78885,                 0.9938,                0.98838,                0.99464,                0.94172,                0.33947,                0.24134,                0.78233,             4.0046e-05,             4.0046e-05,             4.0046e-05
                     49,                0.36592,                0.25741,                0.78737,                0.99486,                0.98803,                0.99469,                0.94201,                0.33662,                0.24013,                0.78169,             3.0047e-05,             3.0047e-05,             3.0047e-05
                     50,                0.36053,                0.25479,                0.78658,                0.99071,                0.99189,                0.99476,                0.94137,                0.33785,                0.23912,                0.78218,             2.0048e-05,             2.0048e-05,             2.0048e-05
